user_id,username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,username_length,has_numbers,has_underscore,numeric_ratio,uppercase_ratio,special_char_count,is_bot
63534649,Lautaro_RBL,0.11538461538461539,62.666666666666664,15,1.0,7.5,130,0,0,11,0,1,0.0,0.36363636363636365,1,1
80426152,Cata_Chiara,0.008333333333333333,28.0,2,0.0,1.0,240,0,0,11,0,1,0.0,0.18181818181818182,1,0
48997988,KASHI_292,0.05555555555555555,62.0,1,1.0,1.0,18,0,0,9,1,1,0.3333333333333333,0.5555555555555556,1,1
40160956,fergv07,0.08759124087591241,52.75,12,0.75,4.0,137,0,0,7,1,0,0.2857142857142857,0.0,0,1
31935495,fabriziocorzo,0.0051813471502590676,18.0,1,0.0,1.0,193,0,0,13,0,0,0.0,0.0,0,0
52556355,RenatalvsMatiasRecalt,0.2087912087912088,76.15789473684211,19,0.7368421052631579,1.1176470588235294,91,0,0,21,0,0,0.0,0.14285714285714285,0,1
79878874,pilin6000,0.12781954887218044,19.470588235294116,17,0.0,1.1333333333333333,133,0,0,9,1,0,0.4444444444444444,0.0,0,0
31485306,Alvi_06,0.01293103448275862,20.333333333333332,3,0.0,1.5,232,0,0,7,1,1,0.2857142857142857,0.14285714285714285,1,0
21973563,Richi_Boy,0.007407407407407408,18.0,1,0.0,1.0,135,0,0,9,0,1,0.0,0.2222222222222222,1,0
54657442,PabloCostaa,0.37,42.83783783783784,37,0.7027027027027027,6.166666666666667,100,0,0,11,0,0,0.0,0.18181818181818182,0,1
54657442,PabloCostaa,0.37,42.83783783783784,37,0.7027027027027027,6.166666666666667,100,0,0,11,0,0,0.0,0.18181818181818182,0,1
54657442,PabloCostaa,0.37,42.83783783783784,37,0.7027027027027027,6.166666666666667,100,0,0,11,0,0,0.0,0.18181818181818182,0,1
42640926,corvi_pl,0.014184397163120567,19.5,2,0.0,1.0,141,0,0,8,0,1,0.0,0.0,1,0
79567656,KANSASANYMORE,0.5,49.333333333333336,3,1.0,1.0,6,0,0,13,0,0,0.0,1.0,0,1
31944044,faku_04,0.005681818181818182,27.0,1,0.0,1.0,176,0,0,7,1,1,0.2857142857142857,0.0,1,0
2462432,TTonyV,0.029411764705882353,18.0,1,0.0,1.0,34,0,0,6,0,0,0.0,0.5,0,0
81576299,bardera_67,0.2275449101796407,44.63157894736842,38,0.9736842105263158,2.7142857142857144,167,0,0,10,1,1,0.2,0.0,1,1
81728471,ddu10,0.057692307692307696,61.166666666666664,12,0.9166666666666666,2.0,208,0,0,5,1,0,0.4,0.0,0,1
25914116,tomiabau_04,0.01,25.5,2,0.0,1.0,200,0,0,11,1,1,0.18181818181818182,0.0,1,0
34138766,zTyrael_RM,0.012875536480686695,18.0,3,0.0,3.0,233,0,0,10,0,1,0.0,0.3,1,0
22038705,Astra616,0.007633587786259542,18.0,1,0.0,1.0,131,0,0,8,1,0,0.375,0.125,0,0
10046257,sebasguti08,0.014925373134328358,96.0,1,1.0,1.0,67,0,0,11,1,0,0.18181818181818182,0.0,0,1
31930266,ByPier,0.004784688995215311,18.0,1,0.0,1.0,209,0,0,6,0,0,0.0,0.3333333333333333,0,0
39697793,Hhanebbu,0.0045045045045045045,12.0,1,0.0,1.0,222,0,0,8,0,0,0.0,0.125,0,0
57661471,saannttiii18,0.0211864406779661,14.2,5,0.0,1.6666666666666667,236,0,0,12,1,0,0.16666666666666666,0.0,0,0
34581676,ALGARETEGG,0.00980392156862745,26.0,1,0.0,1.0,102,0,0,10,0,0,0.0,1.0,0,0
22732501,mateo16sebas,0.00980392156862745,20.0,1,0.0,1.0,102,0,0,12,1,0,0.16666666666666666,0.0,0,0
8218459,pelaviewer,0.004424778761061947,18.0,1,0.0,1.0,226,0,0,10,0,0,0.0,0.0,0,0
5015843,Francoo_29,0.48148148148148145,17.661538461538463,65,0.0,6.5,135,0,0,10,1,1,0.2,0.1,1,0
40160956,fergv07,0.08759124087591241,52.75,12,0.75,4.0,137,0,0,7,1,0,0.2857142857142857,0.0,0,1
6169327,JuanT3Ekiller,0.008658008658008658,13.0,2,0.0,1.0,231,0,0,13,1,0,0.07692307692307693,0.23076923076923078,0,0
80625623,ariadnaa00,0.04395604395604396,69.0,4,1.0,4.0,91,0,0,10,1,0,0.2,0.0,0,1
43308207,nosesise,0.047619047619047616,18.0,1,0.0,1.0,21,0,0,8,0,0,0.0,0.0,0,0
